"finessGeoDP","semestre","n","comp","taux","taux_glissant","moyenne_nationale","semestre_date","se","ic_low","ic_high"
"930100037","2021S2",39,5,0.128,0.077,0.037,2021-04-01,0.043,0,0.16128
"930100037","2022S1",74,1,0.014,0.071,0.03,2022-01-01,0.03,0.0122,0.1298
"930100037","2022S2",80,3,0.038,0.026,0.036,2022-04-01,0.018,0,0.06128
"930100037","2023S1",66,3,0.045,0.042,0.036,2023-01-01,0.025,0,0.091
"930100037","2023S2",55,2,0.036,0.04,0.038,2023-04-01,0.026,0,0.09096
"930100037","2024S1",71,4,0.056,0.046,0.031,2024-01-01,0.025,0,0.095
"930100037","2024S2",69,5,0.072,0.064,0.025,2024-04-01,0.029,0.00716,0.12084
"930100037","2025S1",59,6,0.102,0.087,0.043,2025-01-01,0.037,0.01448,0.15952
"930100037","2025S2",3,0,0,0.051,0.024,2025-04-01,0.127,0,0.29992
"940000573","2019S1",74,4,0.054,NA,0.038,2019-01-01,NA,NA,NA
"940000573","2019S2",86,4,0.047,0.051,0.037,2019-04-01,0.024,0.00396,0.09804
"940000573","2020S1",51,1,0.02,0.034,0.04,2020-01-01,0.025,0,0.083
"940000573","2020S2",85,2,0.024,0.022,0.037,2020-04-01,0.016,0,0.05336
"940000573","2021S1",124,7,0.056,0.04,0.042,2021-01-01,0.018,0.00472,0.07528
"940000573","2021S2",99,1,0.01,0.033,0.037,2021-04-01,0.018,0,0.06828
"940000573","2022S1",105,8,0.076,0.043,0.03,2022-01-01,0.02,0.0038,0.0822
"940000573","2022S2",81,4,0.049,0.062,0.036,2022-04-01,0.027,0.00908,0.11492
"940000573","2023S1",92,4,0.043,0.046,0.036,2023-01-01,0.022,0.00288,0.08912
"940000573","2023S2",67,5,0.075,0.059,0.038,2023-04-01,0.029,0.00216,0.11584
"940000573","2024S1",91,3,0.033,0.054,0.031,2024-01-01,0.024,0.00696,0.10104
"940000573","2024S2",79,1,0.013,0.023,0.025,2024-04-01,0.017,0,0.05632
"940000573","2025S1",107,7,0.065,0.039,0.043,2025-01-01,0.019,0.00176,0.07624
"940000573","2025S2",15,1,0.067,0.066,0.024,2025-04-01,0.064,0,0.19144
