"finessGeoDP","annee","duree_cat","baria_t","VOL","TOT","PCT"
"440000271",2021,"(0,3]","ANN",2,3,67
"440000271",2021,"(0,3]","BPG",55,60,92
"440000271",2021,"(0,3]","DBP",4,4,100
"440000271",2021,"(0,3]","SLE",77,88,88
"440000271",2021,"(3,6]","BPG",4,60,7
"440000271",2021,"(3,6]","SLE",2,88,2
"440000271",2021,"(6,225]","BPG",1,60,2
"440000271",2021,"(6,225]","SLE",1,88,1
"440000271",2022,"[-1,0]","BPG",1,103,1
"440000271",2022,"[-1,0]","SLE",3,72,4
"440000271",2022,"(0,3]","ANN",1,1,100
"440000271",2022,"(0,3]","BPG",98,103,95
"440000271",2022,"(0,3]","DBP",2,2,100
"440000271",2022,"(0,3]","SLE",68,72,94
"440000271",2022,"(3,6]","BPG",2,103,2
"440000271",2022,"(3,6]","SLE",1,72,1
"440000271",2022,"(6,225]","BPG",2,103,2
"440000271",2023,"[-1,0]","SLE",1,43,2
"440000271",2023,"(0,3]","BPG",72,82,88
"440000271",2023,"(0,3]","DBP",1,1,100
"440000271",2023,"(0,3]","SLE",38,43,88
"440000271",2023,"(3,6]","BPG",7,82,9
"440000271",2023,"(3,6]","SLE",3,43,7
"440000271",2023,"(6,225]","BPG",3,82,4
"440000271",2023,"(6,225]","SLE",1,43,2
"440000271",2024,"(0,3]","BPG",71,76,93
"440000271",2024,"(0,3]","SLE",59,62,95
"440000271",2024,"(3,6]","BPG",5,76,7
"440000271",2024,"(3,6]","SLE",3,62,5
"440000271",2025,"(0,3]","BPG",34,35,97
"440000271",2025,"(0,3]","SLE",20,21,95
"440000271",2025,"(6,225]","BPG",1,35,3
"440000271",2025,"(6,225]","SLE",1,21,5
"830100459",2019,"(0,3]","ANN",5,5,100
"830100459",2019,"(0,3]","BPG",17,19,89
"830100459",2019,"(0,3]","DBP",7,8,88
"830100459",2019,"(0,3]","SLE",251,337,74
"830100459",2019,"(3,6]","BPG",1,19,5
"830100459",2019,"(3,6]","SLE",81,337,24
"830100459",2019,"(6,225]","BPG",1,19,5
"830100459",2019,"(6,225]","DBP",1,8,12
"830100459",2019,"(6,225]","SLE",5,337,1
"830100459",2020,"[-1,0]","SLE",1,272,0
"830100459",2020,"(0,3]","ANN",1,1,100
"830100459",2020,"(0,3]","BPG",23,26,88
"830100459",2020,"(0,3]","SLE",213,272,78
"830100459",2020,"(3,6]","BPG",2,26,8
"830100459",2020,"(3,6]","SLE",49,272,18
"830100459",2020,"(6,225]","BPG",1,26,4
"830100459",2020,"(6,225]","SLE",9,272,3
"830100459",2021,"[-1,0]","SLE",3,347,1
"830100459",2021,"(0,3]","ANN",5,5,100
"830100459",2021,"(0,3]","BPG",33,41,80
"830100459",2021,"(0,3]","SLE",292,347,84
"830100459",2021,"(3,6]","BPG",7,41,17
"830100459",2021,"(3,6]","SLE",48,347,14
"830100459",2021,"(6,225]","BPG",1,41,2
"830100459",2021,"(6,225]","SLE",4,347,1
"830100459",2022,"(0,3]","ANN",3,3,100
"830100459",2022,"(0,3]","BPG",24,28,86
"830100459",2022,"(0,3]","SLE",229,282,81
"830100459",2022,"(3,6]","BPG",2,28,7
"830100459",2022,"(3,6]","SLE",51,282,18
"830100459",2022,"(6,225]","BPG",2,28,7
"830100459",2022,"(6,225]","SLE",2,282,1
"830100459",2023,"(0,3]","ANN",4,5,80
"830100459",2023,"(0,3]","BPG",44,49,90
"830100459",2023,"(0,3]","SLE",203,251,81
"830100459",2023,"(3,6]","ANN",1,5,20
"830100459",2023,"(3,6]","BPG",5,49,10
"830100459",2023,"(3,6]","SLE",44,251,18
"830100459",2023,"(6,225]","SLE",4,251,2
"830100459",2024,"(0,3]","ANN",5,5,100
"830100459",2024,"(0,3]","BPG",35,40,88
"830100459",2024,"(0,3]","SLE",144,173,83
"830100459",2024,"(3,6]","BPG",3,40,7
"830100459",2024,"(3,6]","SLE",27,173,16
"830100459",2024,"(6,225]","BPG",2,40,5
"830100459",2024,"(6,225]","SLE",2,173,1
"830100459",2025,"[-1,0]","ANN",1,2,50
"830100459",2025,"(0,3]","ANN",1,2,50
"830100459",2025,"(0,3]","BPG",19,21,90
"830100459",2025,"(0,3]","SLE",117,118,99
"830100459",2025,"(3,6]","BPG",2,21,10
"830100459",2025,"(6,225]","SLE",1,118,1
"930100037",2019,"(0,3]","BPG",10,31,32
"930100037",2019,"(0,3]","SLE",79,111,71
"930100037",2019,"(3,6]","BPG",16,31,52
"930100037",2019,"(3,6]","SLE",27,111,24
"930100037",2019,"(6,225]","BPG",5,31,16
"930100037",2019,"(6,225]","SLE",5,111,5
"930100037",2020,"(0,3]","BPG",1,7,14
"930100037",2020,"(0,3]","SLE",10,27,37
"930100037",2020,"(3,6]","BPG",6,7,86
"930100037",2020,"(3,6]","SLE",13,27,48
"930100037",2020,"(6,225]","SLE",4,27,15
"930100037",2021,"(0,3]","SLE",29,67,43
"930100037",2021,"(3,6]","BPG",8,11,73
"930100037",2021,"(3,6]","SLE",34,67,51
"930100037",2021,"(6,225]","BPG",3,11,27
"930100037",2021,"(6,225]","SLE",4,67,6
"930100037",2022,"(0,3]","SLE",70,127,55
"930100037",2022,"(3,6]","BPG",20,27,74
"930100037",2022,"(3,6]","SLE",54,127,43
"930100037",2022,"(6,225]","BPG",7,27,26
"930100037",2022,"(6,225]","SLE",3,127,2
"930100037",2023,"[-1,0]","SLE",1,95,1
"930100037",2023,"(0,3]","BPG",1,25,4
"930100037",2023,"(0,3]","SLE",36,95,38
"930100037",2023,"(3,6]","BPG",17,25,68
"930100037",2023,"(3,6]","SLE",52,95,55
"930100037",2023,"(6,225]","BPG",7,25,28
"930100037",2023,"(6,225]","SLE",6,95,6
"930100037",2024,"(0,3]","BPG",15,50,30
"930100037",2024,"(0,3]","SLE",47,89,53
"930100037",2024,"(3,6]","BPG",22,50,44
"930100037",2024,"(3,6]","DBP",1,1,100
"930100037",2024,"(3,6]","SLE",35,89,39
"930100037",2024,"(6,225]","BPG",13,50,26
