"";"finessGeoDP";"annee";"vda";"baria_t";"redo";"n";"TOT";"PCT"
"881";"130043664";2022;"COE";"ABL";1;41;41;100
"882";"130043664";2022;"COE";"ANN";0;24;30;80
"883";"130043664";2022;"COE";"ANN";1;6;30;20
"884";"130043664";2022;"COE";"BPG";0;81;100;81
"885";"130043664";2022;"COE";"BPG";1;19;100;19
"886";"130043664";2022;"COE";"REV";1;2;2;100
"887";"130043664";2022;"COE";"SLE";0;71;71;100
"888";"130043664";2022;"LAP";"ABL";1;1;1;100
"889";"130043664";2022;"LAP";"BPG";1;1;1;100
"890";"130043664";2022;"LAP";"REV";1;38;38;100
"891";"130043664";2022;"ROB";"BPG";0;4;5;80
"892";"130043664";2022;"ROB";"BPG";1;1;5;20
"893";"130043664";2022;"ROB";"SLE";0;2;2;100
"894";"130043664";2023;"COE";"ABL";1;46;46;100
"895";"130043664";2023;"COE";"ANN";0;38;50;76
"896";"130043664";2023;"COE";"ANN";1;12;50;24
"897";"130043664";2023;"COE";"BPG";0;56;69;81,2
"898";"130043664";2023;"COE";"BPG";1;13;69;18,8
"899";"130043664";2023;"COE";"GVC";0;2;2;100
"900";"130043664";2023;"COE";"REV";1;2;2;100
"901";"130043664";2023;"COE";"SLE";0;55;56;98,2
"902";"130043664";2023;"COE";"SLE";1;1;56;1,8
"903";"130043664";2023;"LAP";"ABL";1;1;1;100
"904";"130043664";2023;"LAP";"BPG";0;2;4;50
"905";"130043664";2023;"LAP";"BPG";1;2;4;50
"906";"130043664";2023;"LAP";"REV";1;42;42;100
"907";"130043664";2023;"ROB";"BPG";0;15;22;68,2
"908";"130043664";2023;"ROB";"BPG";1;7;22;31,8
"909";"130043664";2023;"ROB";"SLE";0;3;3;100
"910";"130043664";2024;"COE";"ABL";1;40;40;100
"911";"130043664";2024;"COE";"ANN";0;42;53;79,2
"912";"130043664";2024;"COE";"ANN";1;11;53;20,8
"913";"130043664";2024;"COE";"BPG";0;62;78;79,5
"914";"130043664";2024;"COE";"BPG";1;16;78;20,5
"915";"130043664";2024;"COE";"REV";1;6;6;100
"916";"130043664";2024;"COE";"SLE";0;56;58;96,6
"917";"130043664";2024;"COE";"SLE";1;2;58;3,4
"918";"130043664";2024;"LAP";"REV";1;32;32;100
"919";"130043664";2024;"ROB";"BPG";0;26;30;86,7
"920";"130043664";2024;"ROB";"BPG";1;4;30;13,3
"921";"130043664";2024;"ROB";"SLE";0;4;4;100
"922";"130780521";2020;"COE";"ABL";1;1;1;100
"923";"130780521";2020;"COE";"BPG";0;16;22;72,7
"924";"130780521";2020;"COE";"BPG";1;6;22;27,3
"925";"130780521";2020;"COE";"REV";1;1;1;100
"926";"130780521";2020;"COE";"SLE";0;16;19;84,2
"927";"130780521";2020;"COE";"SLE";1;3;19;15,8
"928";"130780521";2020;"LAP";"ABL";1;1;1;100
"929";"130780521";2020;"LAP";"BPG";1;1;1;100
"930";"130780521";2020;"LAP";"REV";0;1;4;25
"931";"130780521";2020;"LAP";"REV";1;3;4;75
"932";"130780521";2020;"ROB";"BPG";0;1;1;100
"933";"130780521";2021;"COE";"ABL";1;4;4;100
"934";"130780521";2021;"COE";"BPG";0;13;20;65
"935";"130780521";2021;"COE";"BPG";1;7;20;35
"936";"130780521";2021;"COE";"SLE";0;47;51;92,2
"937";"130780521";2021;"COE";"SLE";1;4;51;7,8
"938";"130780521";2021;"LAP";"BPG";0;1;1;100
"939";"130780521";2021;"LAP";"REV";1;4;4;100
"940";"130780521";2021;"ROB";"BPG";0;1;1;100
"941";"130780521";2022;"COE";"ABL";1;3;3;100
"942";"130780521";2022;"COE";"BPG";0;15;21;71,4
"943";"130780521";2022;"COE";"BPG";1;6;21;28,6
"944";"130780521";2022;"COE";"SLE";0;26;29;89,7
"945";"130780521";2022;"COE";"SLE";1;3;29;10,3
"946";"130780521";2022;"LAP";"BPG";1;1;1;100
"947";"130780521";2022;"LAP";"REV";1;1;1;100
"948";"130780521";2023;"COE";"ABL";1;9;9;100
"949";"130780521";2023;"COE";"BPG";0;23;34;67,6
"950";"130780521";2023;"COE";"BPG";1;11;34;32,4
"951";"130780521";2023;"COE";"SLE";0;33;35;94,3
"952";"130780521";2023;"COE";"SLE";1;2;35;5,7
"953";"130780521";2023;"LAP";"ABL";1;1;1;100
"954";"130780521";2023;"LAP";"REV";0;1;8;12,5
"955";"130780521";2023;"LAP";"REV";1;7;8;87,5
"956";"130780521";2023;"ROB";"SLE";0;2;2;100
"957";"130780521";2024;"COE";"ABL";1;8;8;100
"958";"130780521";2024;"COE";"BPG";0;23;27;85,2
"959";"130780521";2024;"COE";"BPG";1;4;27;14,8
"960";"130780521";2024;"COE";"REV";1;4;4;100
"961";"130780521";2024;"COE";"SLE";0;43;47;91,5
"962";"130780521";2024;"COE";"SLE";1;4;47;8,5
"963";"130780521";2024;"LAP";"ABL";1;1;1;100
"964";"130780521";2024;"LAP";"BPG";1;1;1;100
"965";"130780521";2024;"LAP";"REV";1;1;1;100
"966";"130780521";2024;"ROB";"BPG";0;5;6;83,3
"967";"130780521";2024;"ROB";"BPG";1;1;6;16,7
"968";"130780521";2024;"ROB";"SLE";0;17;19;89,5
"969";"130780521";2024;"ROB";"SLE";1;2;19;10,5
"970";"130781479";2020;"COE";"ABL";1;15;15;100
"971";"130781479";2020;"COE";"DBP";1;2;2;100
"972";"130781479";2020;"COE";"SLE";0;69;76;90,8
"973";"130781479";2020;"COE";"SLE";1;7;76;9,2
"974";"130781479";2020;"LAP";"REV";1;8;8;100
"975";"130781479";2020;"ROB";"BPG";0;4;7;57,1
"976";"130781479";2020;"ROB";"BPG";1;3;7;42,9
"977";"130781479";2021;"COE";"ABL";1;19;19;100
"978";"130781479";2021;"COE";"ANN";0;1;1;100
"979";"130781479";2021;"COE";"DBP";1;3;3;100
