"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"02";"DEP";"_T";"_T";"POP";"D";2021;527468
"50";"DEP";"_T";"_T";"POP";"D";2021;495508
"08";"DEP";"_T";"_T";"POP";"D";2021;268859
"23";"DEP";"_T";"_T";"POP";"D";2021;115702
"17";"DEP";"_T";"_T";"POP";"D";2021;661404
"45";"DEP";"_T";"_T";"POP";"D";2021;684561
"31";"DEP";"_T";"_T";"POP";"D";2021;1434367
"37";"DEP";"_T";"_T";"POP";"D";2021;612160
"84";"DEP";"_T";"_T";"POP";"D";2021;564566
"79";"DEP";"_T";"_T";"POP";"D";2021;374587
"974";"DEP";"_T";"_T";"POP";"D";2021;871157
"32";"DEP";"_T";"_T";"POP";"D";2021;192437
"49";"DEP";"_T";"_T";"POP";"D";2021;824743
"55";"DEP";"_T";"_T";"POP";"D";2021;181919
"77";"DEP";"_T";"_T";"POP";"D";2021;1438100
"2B";"DEP";"_T";"_T";"POP";"D";2021;184655
"16";"DEP";"_T";"_T";"POP";"D";2021;350867
"51";"DEP";"_T";"_T";"POP";"D";2021;565292
"63";"DEP";"_T";"_T";"POP";"D";2021;662285
"03";"DEP";"_T";"_T";"POP";"D";2021;334872
"52";"DEP";"_T";"_T";"POP";"D";2021;171042
"18";"DEP";"_T";"_T";"POP";"D";2021;299573
"64";"DEP";"_T";"_T";"POP";"D";2021;693027
"86";"DEP";"_T";"_T";"POP";"D";2021;439385
"68";"DEP";"_T";"_T";"POP";"D";2021;767083
"94";"DEP";"_T";"_T";"POP";"D";2021;1415367
"75";"DEP";"_T";"_T";"POP";"D";2021;2133111
"76";"DEP";"_T";"_T";"POP";"D";2021;1255918
"61";"DEP";"_T";"_T";"POP";"D";2021;276973
"91";"DEP";"_T";"_T";"POP";"D";2021;1313768
"71";"DEP";"_T";"_T";"POP";"D";2021;549288
"976";"DEP";"_T";"_T";"POP";"D";2021;289039
"66";"DEP";"_T";"_T";"POP";"D";2021;487307
"44";"DEP";"_T";"_T";"POP";"D";2021;1457806
"74";"DEP";"_T";"_T";"POP";"D";2021;841482
"26";"DEP";"_T";"_T";"POP";"D";2021;519458
"22";"DEP";"_T";"_T";"POP";"D";2021;605917
"78";"DEP";"_T";"_T";"POP";"D";2021;1456365
"15";"DEP";"_T";"_T";"POP";"D";2021;144226
"30";"DEP";"_T";"_T";"POP";"D";2021;756543
"81";"DEP";"_T";"_T";"POP";"D";2021;393572
"57";"DEP";"_T";"_T";"POP";"D";2021;1049942
"35";"DEP";"_T";"_T";"POP";"D";2021;1098325
