"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"37";"DEP";"_T";"_T";"POP";"PROV";2024;619310
"60";"DEP";"_T";"_T";"POP";"PROV";2024;830031
"12";"DEP";"_T";"_T";"POP";"PROV";2024;278821
"31";"DEP";"_T";"_T";"POP";"PROV";2024;1489751
"38";"DEP";"_T";"_T";"POP";"PROV";2024;1302971
"32";"DEP";"_T";"_T";"POP";"PROV";2024;192920
"61";"DEP";"_T";"_T";"POP";"PROV";2024;273419
"66";"DEP";"_T";"_T";"POP";"PROV";2024;500103
"36";"DEP";"_T";"_T";"POP";"PROV";2024;214525
"65";"DEP";"_T";"_T";"POP";"PROV";2024;232145
"64";"DEP";"_T";"_T";"POP";"PROV";2024;708825
"58";"DEP";"_T";"_T";"POP";"PROV";2024;200541
"04";"DEP";"_T";"_T";"POP";"PROV";2024;168908
"27";"DEP";"_T";"_T";"POP";"PROV";2024;601853
"39";"DEP";"_T";"_T";"POP";"PROV";2024;257644
"01";"DEP";"_T";"_T";"POP";"PROV";2024;683034
"95";"DEP";"_T";"_T";"POP";"PROV";2024;1282581
"19";"DEP";"_T";"_T";"POP";"PROV";2024;239704
"74";"DEP";"_T";"_T";"POP";"PROV";2024;863640
"51";"DEP";"_T";"_T";"POP";"PROV";2024;560550
"50";"DEP";"_T";"_T";"POP";"PROV";2024;496331
"973";"DEP";"_T";"_T";"POP";"PROV";2024;291774
"89";"DEP";"_T";"_T";"POP";"PROV";2024;331845
"28";"DEP";"_T";"_T";"POP";"PROV";2024;433304
"52";"DEP";"_T";"_T";"POP";"PROV";2024;168009
"94";"DEP";"_T";"_T";"POP";"PROV";2024;1424361
"22";"DEP";"_T";"_T";"POP";"PROV";2024;613301
"53";"DEP";"_T";"_T";"POP";"PROV";2024;303859
"972";"DEP";"_T";"_T";"POP";"PROV";2024;357590
"84";"DEP";"_T";"_T";"POP";"PROV";2024;572065
"17";"DEP";"_T";"_T";"POP";"PROV";2024;677189
"33";"DEP";"_T";"_T";"POP";"PROV";2024;1704597
"91";"DEP";"_T";"_T";"POP";"PROV";2024;1337492
"26";"DEP";"_T";"_T";"POP";"PROV";2024;523457
"47";"DEP";"_T";"_T";"POP";"PROV";2024;332318
"25";"DEP";"_T";"_T";"POP";"PROV";2024;550255
"41";"DEP";"_T";"_T";"POP";"PROV";2024;328012
"49";"DEP";"_T";"_T";"POP";"PROV";2024;832858
"57";"DEP";"_T";"_T";"POP";"PROV";2024;1050897
"72";"DEP";"_T";"_T";"POP";"PROV";2024;564913
"42";"DEP";"_T";"_T";"POP";"PROV";2024;775357
"92";"DEP";"_T";"_T";"POP";"PROV";2024;1658614
"45";"DEP";"_T";"_T";"POP";"PROV";2024;689845
"77";"DEP";"_T";"_T";"POP";"PROV";2024;1470763
"18";"DEP";"_T";"_T";"POP";"PROV";2024;297019
"16";"DEP";"_T";"_T";"POP";"PROV";2024;350672
"80";"DEP";"_T";"_T";"POP";"PROV";2024;561656
"55";"DEP";"_T";"_T";"POP";"PROV";2024;178231
"02";"DEP";"_T";"_T";"POP";"PROV";2024;521152
"76";"DEP";"_T";"_T";"POP";"PROV";2024;1260312
"48";"DEP";"_T";"_T";"POP";"PROV";2024;76512
"11";"DEP";"_T";"_T";"POP";"PROV";2024;379190
"63";"DEP";"_T";"_T";"POP";"PROV";2024;664135
"05";"DEP";"_T";"_T";"POP";"PROV";2024;141906
"67";"DEP";"_T";"_T";"POP";"PROV";2024;1164797
"2B";"DEP";"_T";"_T";"POP";"PROV";2024;186724
