"";"finessGeoDP";"annee";"vda";"n";"TOT";"PCT"
"3295";"940813033";2023;"LAP";6;210;2,9
"3296";"940813033";2023;"ROB";7;210;3,3
"3297";"940813033";2024;"COE";186;190;97,9
"3298";"940813033";2024;"LAP";3;190;1,6
"3299";"940813033";2024;"ROB";1;190;0,5
"3300";"950000307";2020;"COE";92;93;98,9
"3301";"950000307";2020;"LAP";1;93;1,1
"3302";"950000307";2021;"COE";40;41;97,6
"3303";"950000307";2021;"ROB";1;41;2,4
"3304";"950000307";2022;"COE";43;45;95,6
"3305";"950000307";2022;"LAP";2;45;4,4
"3306";"950000307";2023;"COE";37;37;100
"3307";"950000307";2024;"COE";68;69;98,6
"3308";"950000307";2024;"LAP";1;69;1,4
"3309";"950000323";2020;"COE";28;28;100
"3310";"950000323";2021;"COE";55;56;98,2
"3311";"950000323";2021;"LAP";1;56;1,8
"3312";"950000323";2022;"COE";67;69;97,1
"3313";"950000323";2022;"LAP";2;69;2,9
"3314";"950000323";2023;"COE";47;50;94
"3315";"950000323";2023;"ROB";3;50;6
"3316";"950000323";2024;"COE";25;51;49
"3317";"950000323";2024;"ROB";26;51;51
"3318";"950000331";2020;"COE";48;50;96
"3319";"950000331";2020;"LAP";2;50;4
"3320";"950000331";2021;"COE";78;81;96,3
"3321";"950000331";2021;"ROB";3;81;3,7
"3322";"950000331";2022;"COE";63;64;98,4
"3323";"950000331";2022;"LAP";1;64;1,6
"3324";"950000331";2023;"COE";67;68;98,5
"3325";"950000331";2023;"ROB";1;68;1,5
"3326";"950000331";2024;"COE";61;63;96,8
"3327";"950000331";2024;"LAP";1;63;1,6
"3328";"950000331";2024;"ROB";1;63;1,6
"3329";"950000364";2020;"COE";68;69;98,6
"3330";"950000364";2020;"LAP";1;69;1,4
"3331";"950000364";2021;"COE";101;104;97,1
"3332";"950000364";2021;"LAP";3;104;2,9
"3333";"950000364";2022;"COE";118;121;97,5
"3334";"950000364";2022;"LAP";2;121;1,7
