"finessGeoDP","annee","clav_cat_90","NB","PCT","TOT_y"
"970400057",2019,4,2,3.3,60
"970400057",2020,0,31,96.9,32
"970400057",2020,4,1,3.1,32
"970400057",2021,0,40,93,43
"970400057",2021,3,1,2.3,43
"970400057",2021,4,2,4.7,43
"970400057",2023,0,2,100,2
"970400065",2019,0,56,98.2,57
"970400065",2019,3,1,1.8,57
"970400065",2020,0,36,94.7,38
"970400065",2020,3,1,2.6,38
"970400065",2020,4,1,2.6,38
"970400065",2021,0,29,93.5,31
"970400065",2021,3,2,6.5,31
"970400065",2022,0,47,94,50
"970400065",2022,3,3,6,50
"970400065",2023,0,49,94.2,52
"970400065",2023,3,2,3.8,52
"970400065",2023,4,1,1.9,52
"970400065",2024,0,42,100,42
"970400065",2025,0,20,95.2,21
"970400065",2025,4,1,4.8,21
"970400073",2019,0,2,100,2
"970400073",2021,0,1,100,1
"970400073",2022,0,1,100,1
"970462081",2019,0,141,92.2,153
"970462081",2019,3,10,6.5,153
"970462081",2019,4,2,1.3,153
"970462081",2020,0,89,89.9,99
"970462081",2020,3,8,8.1,99
"970462081",2020,4,2,2,99
"970462081",2021,0,131,95.6,137
"970462081",2021,3,4,2.9,137
"970462081",2021,4,2,1.5,137
"970462081",2022,0,146,98,149
"970462081",2022,3,3,2,149
"970462081",2023,0,147,95.5,154
"970462081",2023,3,7,4.5,154
"970462081",2024,0,172,99.4,173
"970462081",2024,3,1,0.6,173
"970462081",2025,0,60,93.8,64
"970462081",2025,3,3,4.7,64
"970462081",2025,5,1,1.6,64
"970462107",2019,0,122,97.6,125
"970462107",2019,3,3,2.4,125
"970462107",2020,0,121,98.4,123
"970462107",2020,3,1,0.8,123
"970462107",2020,5,1,0.8,123
"970462107",2021,0,142,97.9,145
"970462107",2021,3,3,2.1,145
"970462107",2022,0,173,98.9,175
"970462107",2022,3,2,1.1,175
"970462107",2023,0,139,98.6,141
"970462107",2023,3,2,1.4,141
"970462107",2024,0,96,99,97
"970462107",2024,3,1,1,97
"970462107",2025,0,42,100,42
"970500039",2019,0,1,100,1
