codeInsee;codePostal;longitude;latitude;nomCommune
1001;1400;46,15342552;4,926113542;L'ABERGEMENT-CLEMENCIAT
1002;1640;46,00918788;5,428016964;L'ABERGEMENT-DE-VAREY
1004;1500;45,96084751;5,372925778;AMBERIEU-EN-BUGEY
1005;1330;45,99617999;4,912272508;AMBERIEUX-EN-DOMBES
1006;1300;45,7494989;5,594320174;AMBLEON
1007;1500;46,00559138;5,357606607;AMBRONAY
1008;1500;45,93671345;5,332809235;AMBUTRIX
1009;1300;45,78735653;5,657883079;ANDERT-ET-CONDON
1010;1350;45,90937151;5,795160057;ANGLEFORT
1011;1100;46,20549816;5,657814753;APREMONT
1012;1110;46,0015344;5,511306375;ARANC
1013;1230;45,89081553;5,498704391;ARANDAS
1014;1100;46,2834936;5,690616512;ARBENT
1015;1300;45,72376215;5,652630864;ARBIGNIEU
1016;1190;46,4776763;4,959941686;ARBIGNY
1017;1230;45,93371821;5,482511003;ARGIS
1019;1510;45,85418385;5,583578387;ARMIX
1021;1480;45,9934611;4,821996495;ARS-SUR-FORMANS
1022;1510;45,86958917;5,690652839;ARTEMARE
1023;1570;46,38572814;4,883874786;ASNIERES-SUR-SAONE
1024;1340;46,28618022;5,179523385;ATTIGNAT
1025;1380;46,32332033;4,952867893;BAGE-LA-VILLE
1026;1380;46,30770692;4,928620842;BAGE-LE-CHATEL
1027;1360;45,83112265;5,107800192;BALAN
1028;1990;46,11412144;4,901464751;BANEINS
1029;1270;46,42883602;5,260034057;BEAUPONT
1030;1480;46,00085802;4,756006647;BEAUREGARD
1031;1100;46,23734971;5,636005288;BELLIGNAT
1032;1360;45,85914648;5,139895059;BELIGNEUX
1033;1200;46,10679018;5,832027365;BELLEGARDE-SUR-VALSERINE
1034;1300;45,74946978;5,684123655;BELLEY
1035;1130;46,25303164;5,784717237;BELLEYDOUX
1036;1260;45,88474759;5,651157881;BELMONT-LUTHEZIEU
1037;1470;45,83749747;5,482853309;BENONCES
1038;1370;46,31886292;5,282534334;BENY
1039;1350;45,85689201;5,752203151;BEON
1040;1340;46,3674371;5,04021656;BEREZIAT
1041;1500;45,93687183;5,36667617;BETTANT
1042;1290;46,21917488;4,846426902;BEY
1043;1700;45,83903254;4,997380022;BEYNOST
1044;1200;46,07913467;5,765918182;BILLIAT
1045;1330;45,95339955;5,0366648;BIRIEUX
1046;1290;46,22667943;4,940846732;BIZIAT
1047;1150;45,84696861;5,251660559;BLYES
1049;1120;45,84462135;5,027832241;LA BOISSE
1050;1190;46,37279735;4,998976406;BOISSEY
1051;1450;46,19603385;5,470950754;BOLOZON
1052;1330;46,02327748;4,992527093;BOULIGNEUX
1053;1000;46,20515204;5,246021255;BOURG-EN-BRESSE
1054;1800;45,88619345;5,143491969;BOURG-SAINT-CHRISTOPHE
1056;1640;46,03636776;5,463227447;BOYEUX-SAINT-JEROME
1057;1190;46,40516881;4,913579718;BOZ
1058;1300;45,64168547;5,61653371;BREGNIER-CORDON
1059;1260;45,95000829;5,737189233;BRENAZ
1060;1110;46,07599405;5,614183613;BRENOD
1061;1300;45,71350691;5,689981545;BRENS
1062;1360;45,86942306;5,10094289;BRESSOLLES
1063;1460;46,16863273;5,546564222;BRION
1064;1470;45,77083309;5,485374619;BRIORD
1065;1310;46,21041352;5,14487465;BUELLAS
1066;1510;45,85987093;5,546097146;LA BURBANCHE
1067;1430;46,12565334;5,494573792;CEIGNES
1068;1450;46,07202026;5,475775861;CERDON
1069;1240;46,1337951;5,262395394;CERTINES
1071;1170;46,31568938;6,077984436;CESSY
1072;1250;46,1832171;5,320072075;CEYZERIAT
1073;1350;45,83355301;5,71933091;CEYZERIEU
1074;1320;46,00764917;5,16936568;CHALAMONT
1075;1480;46,03405454;4,798538386;CHALEINS
1076;1230;45,95333677;5,536825053;CHALEY
1077;1450;46,12215397;5,457553772;CHALLES-LA-MONTAGNE
1078;1630;46,17683583;5,971150929;CHALLEX
1079;1260;45,93164474;5,693218901;CHAMPAGNE-EN-VALROMEY
1080;1110;46,01988442;5,600087597;CHAMPDOR
1081;1410;46,22036577;5,822335731;CHAMPFROMIER
1082;1420;46,0056953;5,768933932;CHANAY
1083;1990;46,09349842;4,854733647;CHANEINS
1084;1400;46,18618122;5,028077192;CHANOZ-CHATENAY
1085;1240;46,07445369;5,021620559;LA CHAPELLE-DU-CHATELARD
1087;1130;46,18563441;5,681189608;CHARIX
1088;1800;45,87367869;5,221103256;CHARNOZ-SUR-AIN
1089;1500;45,97303902;5,307542735;CHATEAU-GAILLARD
1090;1320;46,02594022;5,20485904;CHATENAY
1091;1200;46,12933377;5,770176021;CHATILLON-EN-MICHAILLE
1092;1320;45,97480174;5,241602773;CHATILLON-LA-PALUD
1093;1400;46,12323907;4,958100037;CHATILLON-SUR-CHALARONNE
1094;1190;46,43797852;5,006937497;CHAVANNES-SUR-REYSSOUZE
1095;1250;46,27501579;5,416494231;CHAVANNES-SUR-SURAN
1096;1660;46,19915138;5,056406926;CHAVEYRIAT
1097;1510;45,88240495;5,724998145;CHAVORNAY
1098;1300;45,79257706;5,684770632;CHAZEY-BONS
1099;1150;45,8929449;5,255284985;CHAZEY-SUR-AIN
1100;1510;45,82272043;5,605002397;CHEIGNIEU-LA-BALME
1101;1430;46,11035126;5,58116056;CHEVILLARD
1102;1190;46,38249255;4,96288276;CHEVROUX
1103;1170;46,28315294;6,047079415;CHEVRY
1104;1410;46,22257337;5,872481053;CHEZERY-FORENS
