"";"finessGeoDP";"annee";"vda";"n";"TOT";"PCT"
"2566";"970202313";2023;"COE";103;106;97,2
"2567";"970202313";2023;"LAP";3;106;2,8
"2568";"970202313";2024;"COE";102;103;99
"2569";"970202313";2024;"LAP";1;103;1
"2570";"970400024";2020;"COE";29;33;87,9
"2571";"970400024";2020;"ROB";4;33;12,1
"2572";"970400024";2021;"COE";15;54;27,8
"2573";"970400024";2021;"LAP";2;54;3,7
"2574";"970400024";2021;"ROB";37;54;68,5
"2575";"970400024";2022;"COE";35;107;32,7
"2576";"970400024";2022;"ROB";72;107;67,3
"2577";"970400024";2023;"COE";18;133;13,5
"2578";"970400024";2023;"LAP";1;133;0,8
"2579";"970400024";2023;"ROB";114;133;85,7
"2580";"970400024";2024;"COE";31;88;35,2
"2581";"970400024";2024;"LAP";1;88;1,1
"2582";"970400024";2024;"ROB";56;88;63,6
"2583";"970462081";2020;"COE";106;106;100
"2584";"970462081";2021;"COE";139;140;99,3
"2585";"970462081";2021;"LAP";1;140;0,7
"2586";"970462081";2022;"COE";158;158;100
"2587";"970462081";2023;"COE";159;159;100
"2588";"970462081";2024;"COE";179;179;100
"2589";"970462107";2020;"COE";131;131;100
"2590";"970462107";2021;"COE";154;155;99,4
"2591";"970462107";2021;"LAP";1;155;0,6
"2592";"970462107";2022;"COE";184;185;99,5
"2593";"970462107";2022;"LAP";1;185;0,5
"2594";"970462107";2023;"COE";143;143;100
"2595";"970462107";2024;"COE";104;105;99
"2596";"970462107";2024;"LAP";1;105;1
