"statut","annee","mois","TOT","COMPL_nb","COMPL_pct","COMPL_pct_roll12"
"public academic",2024,4,372,16,4.3,3.57
"public academic",2024,5,317,13,4.1,3.56
"public academic",2024,6,342,6,1.8,3.45
"public academic",2024,7,319,5,1.6,3.36
"public academic",2024,8,201,5,2.5,3.19
"public academic",2024,9,328,10,3,3.11
"public academic",2024,10,328,16,4.9,3
"public academic",2024,11,343,10,2.9,2.9
"public academic",2024,12,306,7,2.3,2.8
"public academic",2025,1,371,22,5.9,3.19
"public academic",2025,2,337,16,4.7,3.41
"public academic",2025,3,397,22,5.5,3.73
"public academic",2025,4,339,18,5.3,3.81
"public academic",2025,5,291,10,3.4,3.76
"public academic",2025,6,316,16,5.1,4.04
