"finessGeoDP","baria_t","n","pct"
"330780115","BPG",33,13.8
"330780115","SLE",204,85.4
"330780263","ANN",2,0.5
"330780263","BPG",63,14.7
"330780263","DBP",2,0.5
"330780263","SLE",363,84.4
"330780479","BPG",97,32
"330780479","DBP",4,1.3
"330780479","SLE",202,66.7
"330780511","SLE",156,100
"330780529","BPG",196,19.1
"330780529","SLE",830,80.9
"330781402","BPG",379,38.9
"330781402","DBP",1,0.1
"330781402","SLE",594,61
"330782582","ANN",1,0.4
"330782582","BPG",49,19
"330782582","SLE",208,80.6
"330783648","ANN",8,2.2
"330783648","BPG",268,74.2
"330783648","DBP",2,0.6
"330783648","SLE",83,23
"340000033","BPG",9,2.9
"340000033","SLE",299,97.1
"340009885","BPG",28,14.3
"340009885","SLE",168,85.7
"340015502","ANN",3,0.3
"340015502","BPG",766,67.8
"340015502","SLE",360,31.9
"340015965","ANN",20,2.8
"340015965","BPG",24,3.4
"340015965","SLE",658,93.7
"340024314","ANN",5,2.4
"340024314","BPG",35,16.8
"340024314","SLE",168,80.8
"340780667","BPG",23,7.1
"340780667","SLE",303,92.9
"340780675","ANN",4,0.8
"340780675","BPG",54,11
"340780675","DBP",1,0.2
"340780675","SLE",434,88
"340780741","ANN",3,1.3
"340780741","BPG",73,30.5
"340780741","SLE",163,68.2
"340782036","ANN",4,0.4
"340782036","BPG",211,18.7
"340782036","DBP",2,0.2
"340782036","SLE",911,80.8
"350000121","ANN",14,0.9
"350000121","BPG",766,50.8
"350000121","DBP",20,1.3
"350000121","SLE",707,46.9
"350000139","BPG",136,70.1
"350000139","SLE",58,29.9
"350000147","ANN",1,0.5
"350000147","BPG",17,8
"350000147","SLE",194,91.5
"350000741","BPG",106,70.7
"350000741","SLE",44,29.3
"360000129","ANN",1,0.5
"360000129","SLE",206,99.5
"370000093","ANN",1,0.2
"370000093","BPG",260,39.3
"370000093","SLE",400,60.5
"370004467","BPG",89,40.3
"370004467","DBP",1,0.5
"370004467","SLE",131,59.3
"370007569","BPG",91,41.2
"370007569","SLE",130,58.8
"380000067","BPG",219,45.3
"380000067","SLE",264,54.7
"380000174","ANN",10,5.1
"380000174","BPG",26,13.3
"380000174","SLE",160,81.6
