"lib_reg","annee","vda","n","pct"
"HAUTS-DE-FRANCE",2021,"COE",3817,96
"HAUTS-DE-FRANCE",2021,"LAP",21,0.5
"HAUTS-DE-FRANCE",2021,"ROB",137,3.4
"HAUTS-DE-FRANCE",2022,"COE",3798,95.9
"HAUTS-DE-FRANCE",2022,"LAP",34,0.9
"HAUTS-DE-FRANCE",2022,"ROB",127,3.2
"HAUTS-DE-FRANCE",2023,"COE",3656,94.7
"HAUTS-DE-FRANCE",2023,"LAP",40,1
"HAUTS-DE-FRANCE",2023,"ROB",163,4.2
"HAUTS-DE-FRANCE",2024,"COE",3339,93.9
"HAUTS-DE-FRANCE",2024,"LAP",32,0.9
"HAUTS-DE-FRANCE",2024,"ROB",184,5.2
"HAUTS-DE-FRANCE",2025,"COE",1674,89.4
"HAUTS-DE-FRANCE",2025,"LAP",9,0.5
"HAUTS-DE-FRANCE",2025,"ROB",190,10.1
"ILE-DE-FRANCE",2021,"COE",7235,96.4
"ILE-DE-FRANCE",2021,"LAP",58,0.8
"ILE-DE-FRANCE",2021,"ROB",213,2.8
"ILE-DE-FRANCE",2022,"COE",6585,94.7
"ILE-DE-FRANCE",2022,"LAP",54,0.8
"ILE-DE-FRANCE",2022,"ROB",318,4.6
"ILE-DE-FRANCE",2023,"COE",5790,91.6
"ILE-DE-FRANCE",2023,"LAP",45,0.7
"ILE-DE-FRANCE",2023,"ROB",485,7.7
"ILE-DE-FRANCE",2024,"COE",5137,92.9
"ILE-DE-FRANCE",2024,"LAP",42,0.8
"ILE-DE-FRANCE",2024,"ROB",351,6.3
"ILE-DE-FRANCE",2025,"COE",2532,87.6
"ILE-DE-FRANCE",2025,"LAP",11,0.4
"ILE-DE-FRANCE",2025,"ROB",348,12
"LA RÃ‰UNION",2021,"COE",357,87.7
"LA RÃ‰UNION",2021,"LAP",2,0.5
"LA RÃ‰UNION",2021,"ROB",48,11.8
"LA RÃ‰UNION",2022,"COE",405,84.4
"LA RÃ‰UNION",2022,"LAP",2,0.4
"LA RÃ‰UNION",2022,"ROB",73,15.2
"LA RÃ‰UNION",2023,"COE",352,74.3
"LA RÃ‰UNION",2023,"LAP",8,1.7
"LA RÃ‰UNION",2023,"ROB",114,24.1
"LA RÃ‰UNION",2024,"COE",339,85.2
"LA RÃ‰UNION",2024,"LAP",3,0.8
"LA RÃ‰UNION",2024,"ROB",56,14.1
"LA RÃ‰UNION",2025,"COE",127,76.5
"LA RÃ‰UNION",2025,"LAP",2,1.2
"LA RÃ‰UNION",2025,"ROB",37,22.3
"MARTINIQUE",2021,"COE",88,100
"MARTINIQUE",2022,"COE",79,98.8
"MARTINIQUE",2022,"LAP",1,1.3
"MARTINIQUE",2023,"COE",91,100
"MARTINIQUE",2024,"COE",81,100
"MARTINIQUE",2025,"COE",36,100
"NORMANDIE",2021,"COE",1835,99.2
"NORMANDIE",2021,"LAP",6,0.3
"NORMANDIE",2021,"ROB",9,0.5
"NORMANDIE",2022,"COE",1778,98
"NORMANDIE",2022,"LAP",8,0.4
"NORMANDIE",2022,"ROB",29,1.6
"NORMANDIE",2023,"COE",1631,97.9
"NORMANDIE",2023,"LAP",6,0.4
"NORMANDIE",2023,"ROB",29,1.7
"NORMANDIE",2024,"COE",1542,99.4
"NORMANDIE",2024,"LAP",2,0.1
"NORMANDIE",2024,"ROB",8,0.5
"NORMANDIE",2025,"COE",810,98.3
"NORMANDIE",2025,"LAP",2,0.2
"NORMANDIE",2025,"ROB",12,1.5
"NOUVELLE-AQUITAINE",2021,"COE",2514,93.5
"NOUVELLE-AQUITAINE",2021,"LAP",14,0.5
"NOUVELLE-AQUITAINE",2021,"ROB",162,6
"NOUVELLE-AQUITAINE",2022,"COE",2365,92.2
"NOUVELLE-AQUITAINE",2022,"LAP",17,0.7
"NOUVELLE-AQUITAINE",2022,"ROB",184,7.2
"NOUVELLE-AQUITAINE",2023,"COE",2329,90.5
"NOUVELLE-AQUITAINE",2023,"LAP",7,0.3
"NOUVELLE-AQUITAINE",2023,"ROB",237,9.2
"NOUVELLE-AQUITAINE",2024,"COE",2368,91
"NOUVELLE-AQUITAINE",2024,"LAP",10,0.4
"NOUVELLE-AQUITAINE",2024,"ROB",223,8.6
"NOUVELLE-AQUITAINE",2025,"COE",1053,86.6
"NOUVELLE-AQUITAINE",2025,"LAP",8,0.7
"NOUVELLE-AQUITAINE",2025,"ROB",155,12.7
"OCCITANIE",2021,"COE",3563,94.6
"OCCITANIE",2021,"LAP",46,1.2
"OCCITANIE",2021,"ROB",157,4.2
"OCCITANIE",2022,"COE",3352,91.7
"OCCITANIE",2022,"LAP",30,0.8
"OCCITANIE",2022,"ROB",273,7.5
"OCCITANIE",2023,"COE",2987,91.5
"OCCITANIE",2023,"LAP",39,1.2
"OCCITANIE",2023,"ROB",238,7.3
"OCCITANIE",2024,"COE",2804,93.7
"OCCITANIE",2024,"LAP",46,1.5
"OCCITANIE",2024,"ROB",141,4.7
"OCCITANIE",2025,"COE",1264,89
"OCCITANIE",2025,"LAP",15,1.1
"OCCITANIE",2025,"ROB",142,10
"PAYS DE LA LOIRE",2021,"COE",1372,92
"PAYS DE LA LOIRE",2021,"LAP",5,0.3
"PAYS DE LA LOIRE",2021,"ROB",114,7.6
"PAYS DE LA LOIRE",2022,"COE",1437,94.5
"PAYS DE LA LOIRE",2022,"LAP",2,0.1
"PAYS DE LA LOIRE",2022,"ROB",81,5.3
"PAYS DE LA LOIRE",2023,"COE",1282,93.1
"PAYS DE LA LOIRE",2023,"LAP",4,0.3
"PAYS DE LA LOIRE",2023,"ROB",91,6.6
"PAYS DE LA LOIRE",2024,"COE",1227,94.3
"PAYS DE LA LOIRE",2024,"LAP",1,0.1
"PAYS DE LA LOIRE",2024,"ROB",73,5.6
"PAYS DE LA LOIRE",2025,"COE",586,92.1
"PAYS DE LA LOIRE",2025,"LAP",4,0.6
"PAYS DE LA LOIRE",2025,"ROB",46,7.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"COE",3327,92.7
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"LAP",22,0.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"ROB",240,6.7
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"COE",3073,93.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"LAP",11,0.3
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"ROB",202,6.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"COE",2810,89.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"LAP",14,0.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"ROB",302,9.7
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"COE",2574,91.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"LAP",5,0.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"ROB",231,8.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"COE",1352,84.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"LAP",7,0.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"ROB",233,14.6
