"finessGeoDP","lib_reg","statut","vda","n","TOT","PCT_app"
"690023411","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",1,65,1.5
"690780655","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",33,242,13.6
"690783154","AUVERGNE-RHÃ”NE-ALPES","public academic","ROB",27,110,24.5
"690805361","AUVERGNE-RHÃ”NE-ALPES","private not-for-profit","ROB",2,55,3.6
"710978263","BOURGOGNE-FRANCHE-COMTÃ‰","public","ROB",25,53,47.2
"730000031","AUVERGNE-RHÃ”NE-ALPES","public","ROB",2,67,3
"740014345","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",1,72,1.4
"740781141","AUVERGNE-RHÃ”NE-ALPES","public","ROB",26,159,16.4
"750100125","ILE-DE-FRANCE","public academic","ROB",41,97,42.3
"750100232","ILE-DE-FRANCE","public academic","ROB",38,191,19.9
"750150237","ILE-DE-FRANCE","private not-for-profit","ROB",9,104,8.7
"750300360","ILE-DE-FRANCE","private for profit","ROB",2,152,1.3
"750300766","ILE-DE-FRANCE","private for profit","ROB",2,184,1.1
"750803447","ILE-DE-FRANCE","public academic","ROB",20,102,19.6
"760000158","NORMANDIE","public academic","ROB",11,90,12.2
"760025312","NORMANDIE","private for profit","ROB",1,73,1.4
"770000446","ILE-DE-FRANCE","public","ROB",35,56,62.5
"770019032","ILE-DE-FRANCE","public","ROB",5,69,7.2
"780000311","ILE-DE-FRANCE","public","ROB",11,63,17.5
"780300414","ILE-DE-FRANCE","private for profit","ROB",3,225,1.3
"800006124","HAUTS-DE-FRANCE","public academic","ROB",9,103,8.7
"810101170","OCCITANIE","private for profit","ROB",30,111,27
"830000345","PROVENCE-ALPES-CÃ”TE D'AZUR","public","ROB",15,82,18.3
"830100434","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",1,65,1.5
"850000142","PAYS DE LA LOIRE","public","ROB",13,62,21
"860000223","NOUVELLE-AQUITAINE","public academic","ROB",60,148,40.5
"870000064","NOUVELLE-AQUITAINE","public academic","ROB",15,43,34.9
"890975550","BOURGOGNE-FRANCHE-COMTÃ‰","public","ROB",52,138,37.7
"910020254","ILE-DE-FRANCE","public","ROB",28,51,54.9
"910300177","ILE-DE-FRANCE","private for profit","ROB",12,155,7.7
"910803543","ILE-DE-FRANCE","private for profit","ROB",4,199,2
"920000643","ILE-DE-FRANCE","private not-for-profit","ROB",8,59,13.6
"920000650","ILE-DE-FRANCE","private not-for-profit","ROB",15,44,34.1
"920029550","ILE-DE-FRANCE","private for profit","ROB",1,104,1
"920100021","ILE-DE-FRANCE","public academic","ROB",49,284,17.3
"930000286","ILE-DE-FRANCE","public","ROB",2,45,4.4
"930000328","ILE-DE-FRANCE","public","ROB",12,97,12.4
"930100037","ILE-DE-FRANCE","public academic","ROB",24,129,18.6
"930300595","ILE-DE-FRANCE","private for profit","ROB",17,91,18.7
"940000573","ILE-DE-FRANCE","public","ROB",46,186,24.7
"940006679","ILE-DE-FRANCE","private for profit","ROB",2,187,1.1
"950000323","ILE-DE-FRANCE","public","ROB",14,57,24.6
"950000364","ILE-DE-FRANCE","public","ROB",1,98,1
"970100392","GUADELOUPE","public","ROB",4,27,14.8
"970400024","LA RÃ‰UNION","public academic","ROB",51,78,65.4
