"lib_reg","annee","duree_cat","LOS_nb","LOS_pct"
"CORSE",2021,"(0,3]",78,60.9
"CORSE",2021,"(3,6]",42,32.8
"CORSE",2021,"(6,225]",6,4.7
"CORSE",2022,"[-1,0]",2,1.9
"CORSE",2022,"(0,3]",53,51.5
"CORSE",2022,"(3,6]",40,38.8
"CORSE",2022,"(6,225]",8,7.8
"CORSE",2023,"[-1,0]",1,1.1
"CORSE",2023,"(0,3]",53,57.6
"CORSE",2023,"(3,6]",36,39.1
"CORSE",2023,"(6,225]",2,2.2
"CORSE",2024,"[-1,0]",1,1.2
"CORSE",2024,"(0,3]",50,59.5
"CORSE",2024,"(3,6]",30,35.7
"CORSE",2024,"(6,225]",3,3.6
"CORSE",2025,"(0,3]",44,80
"CORSE",2025,"(3,6]",11,20
"GRAND EST",2021,"[-1,0]",196,6.2
"GRAND EST",2021,"(0,3]",2456,78.2
"GRAND EST",2021,"(3,6]",443,14.1
"GRAND EST",2021,"(6,225]",47,1.5
"GRAND EST",2022,"[-1,0]",140,4.5
"GRAND EST",2022,"(0,3]",2506,80.4
"GRAND EST",2022,"(3,6]",426,13.7
"GRAND EST",2022,"(6,225]",46,1.5
"GRAND EST",2023,"[-1,0]",127,4
"GRAND EST",2023,"(0,3]",2623,82.5
"GRAND EST",2023,"(3,6]",368,11.6
"GRAND EST",2023,"(6,225]",61,1.9
"GRAND EST",2024,"[-1,0]",127,4.5
"GRAND EST",2024,"(0,3]",2351,83.3
"GRAND EST",2024,"(3,6]",288,10.2
"GRAND EST",2024,"(6,225]",58,2.1
"GRAND EST",2025,"[-1,0]",38,2.6
"GRAND EST",2025,"(0,3]",1270,85.6
"GRAND EST",2025,"(3,6]",146,9.8
"GRAND EST",2025,"(6,225]",30,2
"GUADELOUPE",2021,"(0,3]",141,71.6
"GUADELOUPE",2021,"(3,6]",44,22.3
"GUADELOUPE",2021,"(6,225]",12,6.1
"GUADELOUPE",2022,"(0,3]",166,69.2
"GUADELOUPE",2022,"(3,6]",67,27.9
"GUADELOUPE",2022,"(6,225]",7,2.9
"GUADELOUPE",2023,"(0,3]",171,71.5
"GUADELOUPE",2023,"(3,6]",55,23
"GUADELOUPE",2023,"(6,225]",13,5.4
"GUADELOUPE",2024,"(0,3]",132,72.9
"GUADELOUPE",2024,"(3,6]",40,22.1
"GUADELOUPE",2024,"(6,225]",9,5
"GUADELOUPE",2025,"(0,3]",51,70.8
"GUADELOUPE",2025,"(3,6]",16,22.2
"GUADELOUPE",2025,"(6,225]",5,6.9
"HAUTS-DE-FRANCE",2021,"[-1,0]",104,2.6
"HAUTS-DE-FRANCE",2021,"(0,3]",3003,75.5
"HAUTS-DE-FRANCE",2021,"(3,6]",761,19.1
"HAUTS-DE-FRANCE",2021,"(6,225]",107,2.7
"HAUTS-DE-FRANCE",2022,"[-1,0]",66,1.7
"HAUTS-DE-FRANCE",2022,"(0,3]",3058,77.2
"HAUTS-DE-FRANCE",2022,"(3,6]",748,18.9
"HAUTS-DE-FRANCE",2022,"(6,225]",87,2.2
"HAUTS-DE-FRANCE",2023,"[-1,0]",63,1.6
"HAUTS-DE-FRANCE",2023,"(0,3]",3021,78.3
"HAUTS-DE-FRANCE",2023,"(3,6]",669,17.3
"HAUTS-DE-FRANCE",2023,"(6,225]",106,2.7
"HAUTS-DE-FRANCE",2024,"[-1,0]",64,1.8
"HAUTS-DE-FRANCE",2024,"(0,3]",2824,79.4
"HAUTS-DE-FRANCE",2024,"(3,6]",574,16.1
"HAUTS-DE-FRANCE",2024,"(6,225]",93,2.6
"HAUTS-DE-FRANCE",2025,"[-1,0]",37,2
"HAUTS-DE-FRANCE",2025,"(0,3]",1508,80.5
"HAUTS-DE-FRANCE",2025,"(3,6]",282,15.1
"HAUTS-DE-FRANCE",2025,"(6,225]",46,2.5
"ILE-DE-FRANCE",2021,"[-1,0]",196,2.6
"ILE-DE-FRANCE",2021,"(0,3]",4970,66.2
"ILE-DE-FRANCE",2021,"(3,6]",2027,27
"ILE-DE-FRANCE",2021,"(6,225]",313,4.2
"ILE-DE-FRANCE",2022,"[-1,0]",130,1.9
"ILE-DE-FRANCE",2022,"(0,3]",4740,68.1
"ILE-DE-FRANCE",2022,"(3,6]",1809,26
