"finessGeoDP","annee","duree_cat","LOS_nb","LOS_pct"
"060000510",2021,"(6,225]",1,0.8
"060000510",2022,"(0,3]",101,94.4
"060000510",2022,"(3,6]",6,5.6
"060000510",2023,"(0,3]",71,91
"060000510",2023,"(3,6]",7,9
"060000510",2024,"(0,3]",71,80.7
"060000510",2024,"(3,6]",14,15.9
"060000510",2024,"(6,225]",3,3.4
"060000510",2025,"(0,3]",31,86.1
"060000510",2025,"(3,6]",4,11.1
"060000510",2025,"(6,225]",1,2.8
"060021417",2021,"(0,3]",56,72.7
"060021417",2021,"(3,6]",17,22.1
"060021417",2021,"(6,225]",4,5.2
"060021417",2022,"(0,3]",53,71.6
"060021417",2022,"(3,6]",21,28.4
"060021417",2023,"(0,3]",63,68.5
"060021417",2023,"(3,6]",29,31.5
"060021417",2024,"(0,3]",49,59
"060021417",2024,"(3,6]",30,36.1
"060021417",2024,"(6,225]",4,4.8
"060021417",2025,"(0,3]",24,60
"060021417",2025,"(3,6]",13,32.5
"060021417",2025,"(6,225]",3,7.5
"060780491",2021,"(0,3]",67,72.8
"060780491",2021,"(3,6]",24,26.1
"060780491",2021,"(6,225]",1,1.1
"060780491",2022,"(0,3]",58,65.9
"060780491",2022,"(3,6]",26,29.5
"060780491",2022,"(6,225]",4,4.5
"060780491",2023,"(0,3]",46,74.2
"060780491",2023,"(3,6]",14,22.6
"060780491",2023,"(6,225]",2,3.2
"060780491",2024,"(0,3]",73,76
"060780491",2024,"(3,6]",21,21.9
"060780491",2024,"(6,225]",2,2.1
"060780491",2025,"(0,3]",51,75
"060780491",2025,"(3,6]",13,19.1
"060780491",2025,"(6,225]",4,5.9
"060780590",2021,"(0,3]",61,77.2
"060780590",2021,"(3,6]",17,21.5
"060780590",2021,"(6,225]",1,1.3
"060780590",2022,"(0,3]",43,71.7
"060780590",2022,"(3,6]",17,28.3
"060780590",2023,"(0,3]",21,63.6
"060780590",2023,"(3,6]",12,36.4
"060780590",2024,"(0,3]",28,54.9
"060780590",2024,"(3,6]",22,43.1
"060780590",2024,"(6,225]",1,2
"060780590",2025,"(0,3]",9,69.2
"060780590",2025,"(3,6]",4,30.8
"060780715",2021,"(0,3]",71,84.5
"060780715",2021,"(3,6]",12,14.3
"060780715",2021,"(6,225]",1,1.2
"060780715",2022,"(0,3]",60,87
"060780715",2022,"(3,6]",8,11.6
"060780715",2022,"(6,225]",1,1.4
"060780715",2023,"(0,3]",69,97.2
"060780715",2023,"(3,6]",2,2.8
"060780715",2024,"[-1,0]",1,2.4
"060780715",2024,"(0,3]",32,76.2
"060780715",2024,"(3,6]",8,19
"060780715",2024,"(6,225]",1,2.4
"060780715",2025,"[-1,0]",1,1.7
"060780715",2025,"(0,3]",50,83.3
"060780715",2025,"(3,6]",9,15
"060789195",2021,"(0,3]",86,44.1
"060789195",2021,"(3,6]",101,51.8
"060789195",2021,"(6,225]",8,4.1
"060789195",2022,"(0,3]",147,66.5
"060789195",2022,"(3,6]",62,28.1
"060789195",2022,"(6,225]",12,5.4
"060789195",2023,"(0,3]",116,61.7
"060789195",2023,"(3,6]",67,35.6
"060789195",2023,"(6,225]",5,2.7
"060789195",2024,"(0,3]",86,78.2
"060789195",2024,"(3,6]",18,16.4
"060789195",2024,"(6,225]",6,5.5
"060789195",2025,"(0,3]",38,92.7
"060789195",2025,"(3,6]",2,4.9
"060789195",2025,"(6,225]",1,2.4
"060800166",2021,"(0,3]",29,85.3
"060800166",2021,"(3,6]",5,14.7
"060800166",2022,"(0,3]",31,93.9
"060800166",2022,"(3,6]",1,3
"060800166",2022,"(6,225]",1,3
"060800166",2023,"(0,3]",29,90.6
"060800166",2023,"(3,6]",3,9.4
"060800166",2024,"(0,3]",9,90
"060800166",2024,"(6,225]",1,10
"060800166",2025,"(0,3]",5,100
"070780424",2021,"[-1,0]",11,9.6
"070780424",2021,"(0,3]",98,86
"070780424",2021,"(3,6]",3,2.6
"070780424",2021,"(6,225]",2,1.8
"070780424",2022,"[-1,0]",10,8.4
"070780424",2022,"(0,3]",106,89.1
"070780424",2022,"(3,6]",3,2.5
"070780424",2023,"[-1,0]",17,18.7
"070780424",2023,"(0,3]",71,78
"070780424",2023,"(3,6]",1,1.1
"070780424",2023,"(6,225]",2,2.2
"070780424",2024,"[-1,0]",7,8.2
"070780424",2024,"(0,3]",75,88.2
"070780424",2024,"(3,6]",3,3.5
"070780424",2025,"[-1,0]",6,10.5
"070780424",2025,"(0,3]",49,86
"070780424",2025,"(3,6]",1,1.8
"070780424",2025,"(6,225]",1,1.8
"080010473",2021,"(0,3]",104,77
"080010473",2021,"(3,6]",27,20
"080010473",2021,"(6,225]",4,3
"080010473",2022,"(0,3]",90,74.4
"080010473",2022,"(3,6]",30,24.8
"080010473",2022,"(6,225]",1,0.8
"080010473",2023,"(0,3]",98,82.4
"080010473",2023,"(3,6]",20,16.8
"080010473",2023,"(6,225]",1,0.8
"080010473",2024,"(0,3]",102,91.9
"080010473",2024,"(3,6]",9,8.1
"080010473",2025,"(0,3]",43,82.7
"080010473",2025,"(3,6]",7,13.5
"080010473",2025,"(6,225]",2,3.8
"100000082",2021,"(0,3]",99,92.5
"100000082",2021,"(3,6]",8,7.5
"100000082",2022,"(0,3]",45,97.8
"100000082",2022,"(3,6]",1,2.2
"100000124",2021,"(0,3]",30,29.1
"100000124",2021,"(3,6]",71,68.9
"100000124",2021,"(6,225]",2,1.9
"100000124",2022,"(0,3]",61,37.9
"100000124",2022,"(3,6]",95,59
"100000124",2022,"(6,225]",5,3.1
"100000124",2023,"[-1,0]",1,0.8
"100000124",2023,"(0,3]",69,54.3
"100000124",2023,"(3,6]",56,44.1
"100000124",2023,"(6,225]",1,0.8
"100000124",2024,"[-1,0]",1,1.3
"100000124",2024,"(0,3]",39,51.3
"100000124",2024,"(3,6]",34,44.7
"100000124",2024,"(6,225]",2,2.6
"100000124",2025,"(0,3]",34,55.7
"100000124",2025,"(3,6]",26,42.6
"100000124",2025,"(6,225]",1,1.6
"100010818",2021,"(0,3]",20,83.3
"100010818",2021,"(3,6]",3,12.5
"100010818",2021,"(6,225]",1,4.2
"100010818",2022,"(0,3]",48,100
"100010818",2023,"(0,3]",97,97
"100010818",2023,"(3,6]",2,2
"100010818",2023,"(6,225]",1,1
"100010818",2024,"(0,3]",89,97.8
"100010818",2024,"(3,6]",2,2.2
