"finessGeoDP","annee","vda","n","pct"
"160000253",2025,"COE",10,50
"160000253",2025,"ROB",10,50
"160013207",2021,"COE",80,96.4
"160013207",2021,"ROB",3,3.6
"160013207",2022,"COE",76,97.4
"160013207",2022,"ROB",2,2.6
"160013207",2023,"COE",90,95.7
"160013207",2023,"ROB",4,4.3
"160013207",2024,"COE",88,98.9
"160013207",2024,"ROB",1,1.1
"160013207",2025,"COE",52,98.1
"160013207",2025,"ROB",1,1.9
"170000095",2021,"COE",59,98.3
"170000095",2021,"LAP",1,1.7
"170000095",2022,"COE",58,100
"170000095",2023,"COE",50,100
"170000095",2024,"COE",43,100
"170000152",2021,"COE",155,100
"170000152",2022,"COE",126,99.2
"170000152",2022,"LAP",1,0.8
"170000152",2023,"COE",92,100
"170000152",2024,"COE",120,100
"170000152",2025,"COE",45,97.8
"170000152",2025,"LAP",1,2.2
"170780563",2021,"COE",50,98
"170780563",2021,"LAP",1,2
"170780563",2022,"COE",46,100
"170780563",2023,"COE",57,87.7
"170780563",2023,"ROB",8,12.3
"170780563",2024,"COE",44,67.7
"170780563",2024,"ROB",21,32.3
"170780563",2025,"COE",20,62.5
"170780563",2025,"ROB",12,37.5
"170780662",2021,"COE",45,100
"170780662",2022,"COE",23,100
"170780662",2023,"COE",50,100
"170780662",2024,"COE",53,100
"170780662",2025,"COE",16,100
"180004145",2021,"COE",84,100
"180004145",2022,"COE",79,100
"180004145",2023,"COE",63,100
"180004145",2024,"COE",37,100
"180004145",2025,"COE",28,100
"190013482",2021,"COE",39,100
"190013482",2022,"COE",35,100
"190013482",2023,"COE",43,100
"190013482",2024,"COE",40,97.6
"190013482",2024,"LAP",1,2.4
"190013482",2025,"COE",12,100
"210012670",2021,"COE",263,98.5
"210012670",2021,"LAP",3,1.1
"210012670",2021,"ROB",1,0.4
"210012670",2022,"COE",237,99.6
"210012670",2022,"LAP",1,0.4
"210012670",2023,"COE",201,99.5
"210012670",2023,"LAP",1,0.5
"210012670",2024,"COE",202,96.7
"210012670",2024,"LAP",1,0.5
"210012670",2024,"ROB",6,2.9
"210012670",2025,"COE",122,100
"210780789",2021,"COE",68,39.1
"210780789",2021,"ROB",106,60.9
"210780789",2022,"COE",60,41.4
"210780789",2022,"ROB",85,58.6
"210780789",2023,"COE",41,38
"210780789",2023,"ROB",67,62
"210780789",2024,"COE",64,56.1
"210780789",2024,"LAP",1,0.9
"210780789",2024,"ROB",49,43
"210780789",2025,"COE",18,40
"210780789",2025,"ROB",27,60
"210987558",2021,"COE",35,70
"210987558",2021,"LAP",1,2
"210987558",2021,"ROB",14,28
"210987558",2022,"COE",3,30
"210987558",2022,"ROB",7,70
"210987558",2023,"COE",16,40
"210987558",2023,"LAP",1,2.5
"210987558",2023,"ROB",23,57.5
"210987558",2024,"COE",16,51.6
"210987558",2024,"LAP",1,3.2
"210987558",2024,"ROB",14,45.2
"210987558",2025,"COE",7,26.9
"210987558",2025,"LAP",1,3.8
"210987558",2025,"ROB",18,69.2
"220000012",2021,"COE",39,100
"220000012",2022,"COE",21,95.5
"220000012",2022,"LAP",1,4.5
"220000012",2023,"COE",35,100
"220000012",2024,"COE",26,100
"220000012",2025,"COE",19,100
"220005599",2021,"COE",33,100
"220005599",2022,"COE",35,100
"220005599",2023,"COE",37,100
"220005599",2024,"COE",27,100
"220005599",2025,"COE",20,100
"220022800",2021,"COE",115,100
"220022800",2022,"COE",91,98.9
"220022800",2022,"ROB",1,1.1
"220022800",2023,"COE",55,91.7
"220022800",2023,"ROB",5,8.3
"220022800",2024,"COE",80,94.1
"220022800",2024,"ROB",5,5.9
"220022800",2025,"COE",36,83.7
"220022800",2025,"ROB",7,16.3
"250011848",2021,"COE",163,95.3
"250011848",2021,"ROB",8,4.7
"250011848",2022,"COE",203,95.3
"250011848",2022,"ROB",10,4.7
"250011848",2023,"COE",201,92.6
"250011848",2023,"ROB",16,7.4
"250011848",2024,"COE",144,70.6
"250011848",2024,"LAP",1,0.5
"250011848",2024,"ROB",59,28.9
"250011848",2025,"COE",86,88.7
"250011848",2025,"LAP",1,1
"250011848",2025,"ROB",10,10.3
"260000260",2021,"COE",118,99.2
"260000260",2021,"LAP",1,0.8
"260000260",2022,"COE",93,100
"260000260",2023,"COE",84,100
"260000260",2024,"COE",83,97.6
"260000260",2024,"LAP",1,1.2
"260000260",2024,"ROB",1,1.2
"260000260",2025,"COE",48,100
"260003017",2021,"COE",44,100
"260003017",2022,"COE",64,100
"260003017",2023,"COE",54,98.2
"260003017",2023,"ROB",1,1.8
"260003017",2024,"COE",69,100
"260003017",2025,"COE",43,100
"280000084",2021,"COE",33,100
"280000084",2022,"COE",31,93.9
"280000084",2022,"ROB",2,6.1
"280000084",2023,"COE",26,100
"280000084",2024,"COE",31,100
"280000084",2025,"COE",14,93.3
"280000084",2025,"ROB",1,6.7
"280504267",2021,"COE",57,100
"280504267",2022,"COE",58,100
"280504267",2023,"COE",50,100
"280504267",2024,"COE",49,100
"280504267",2025,"COE",22,100
"280505777",2022,"COE",6,100
"280505777",2023,"COE",50,100
"280505777",2024,"COE",69,100
"280505777",2025,"COE",45,100
"290000025",2021,"COE",27,100
"290000025",2022,"COE",20,90.9
"290000025",2022,"LAP",1,4.5
"290000025",2022,"ROB",1,4.5
"290000025",2023,"COE",44,100
"290000025",2024,"COE",35,97.2
"290000025",2024,"LAP",1,2.8
"290000025",2025,"COE",14,93.3
"290000025",2025,"ROB",1,6.7
"290000215",2021,"COE",51,100
"290000215",2022,"COE",35,100
"290004324",2021,"COE",54,98.2
"290004324",2021,"LAP",1,1.8
"290004324",2022,"COE",79,96.3
"290004324",2022,"LAP",3,3.7
"290004324",2023,"COE",101,99
"290004324",2023,"LAP",1,1
"290004324",2024,"COE",71,100
"290004324",2025,"COE",31,91.2
"290004324",2025,"LAP",3,8.8
"290019777",2021,"COE",70,100
"290019777",2022,"COE",86,100
"290019777",2023,"COE",80,100
"290019777",2024,"COE",68,98.6
"290019777",2024,"LAP",1,1.4
"290019777",2025,"COE",45,100
"290036540",2022,"COE",21,95.5
"290036540",2022,"ROB",1,4.5
"290036540",2023,"COE",49,100
"290036540",2024,"COE",35,97.2
"290036540",2024,"LAP",1,2.8
"290036540",2025,"COE",26,96.3
"290036540",2025,"ROB",1,3.7
"2A0000139",2021,"COE",31,100
"2A0000139",2022,"COE",29,100
"2A0000139",2023,"COE",24,100
"2A0000139",2024,"COE",20,100
"2A0000139",2025,"COE",7,100
"2B0000145",2021,"COE",97,100
"2B0000145",2022,"COE",72,97.3
"2B0000145",2022,"LAP",1,1.4
"2B0000145",2022,"ROB",1,1.4
"2B0000145",2023,"COE",59,86.8
"2B0000145",2023,"ROB",9,13.2
"2B0000145",2024,"COE",19,29.7
"2B0000145",2024,"ROB",45,70.3
"2B0000145",2025,"COE",43,89.6
"2B0000145",2025,"ROB",5,10.4
"300000023",2021,"COE",35,94.6
"300000023",2021,"LAP",1,2.7
"300000023",2021,"ROB",1,2.7
"300000023",2022,"COE",42,100
"300000023",2023,"COE",19,95
"300000023",2023,"ROB",1,5
"300000023",2024,"COE",30,100
"300000023",2025,"COE",27,96.4
"300000023",2025,"ROB",1,3.6
"300780137",2021,"COE",111,100
"300780137",2022,"COE",56,98.2
"300780137",2022,"LAP",1,1.8
"300780137",2023,"COE",48,98
"300780137",2023,"LAP",1,2
"300780137",2024,"COE",34,100
"300780137",2025,"COE",14,100
"300782117",2021,"COE",259,100
"300782117",2022,"COE",220,100
"300782117",2023,"COE",193,98.5
"300782117",2023,"ROB",3,1.5
"300782117",2024,"COE",213,100
"300782117",2025,"COE",84,98.8
"300782117",2025,"ROB",1,1.2
"300788502",2021,"COE",151,61.9
"300788502",2021,"LAP",1,0.4
"300788502",2021,"ROB",92,37.7
"300788502",2022,"COE",146,60.1
"300788502",2022,"LAP",1,0.4
"300788502",2022,"ROB",96,39.5
"300788502",2023,"COE",122,79.2
"300788502",2023,"LAP",1,0.6
"300788502",2023,"ROB",31,20.1
"300788502",2024,"COE",78,76.5
"300788502",2024,"LAP",1,1
"300788502",2024,"ROB",23,22.5
"300788502",2025,"COE",55,73.3
"300788502",2025,"ROB",20,26.7
"310026927",2021,"COE",44,97.8
"310026927",2021,"LAP",1,2.2
"310026927",2022,"COE",51,98.1
"310026927",2022,"LAP",1,1.9
"310026927",2023,"COE",68,100
"310026927",2024,"COE",60,98.4
"310026927",2024,"LAP",1,1.6
"310026927",2025,"COE",32,100
"310780283",2021,"COE",112,99.1
"310780283",2021,"LAP",1,0.9
"310780283",2022,"COE",113,98.3
"310780283",2022,"ROB",2,1.7
"310780283",2023,"COE",117,100
"310780283",2024,"COE",107,100
"310780283",2025,"COE",44,97.8
"310780283",2025,"ROB",1,2.2
"310780382",2021,"COE",71,100
"310780382",2022,"COE",64,100
"310780382",2023,"COE",53,98.1
"310780382",2023,"LAP",1,1.9
"310780382",2024,"COE",54,100
"310780382",2025,"COE",20,100
"310781000",2021,"COE",661,100
"310781000",2022,"COE",718,99.7
"310781000",2022,"ROB",2,0.3
"310781000",2023,"COE",527,99.4
"310781000",2023,"LAP",1,0.2
"310781000",2023,"ROB",2,0.4
"310781000",2024,"COE",471,99.8
"310781000",2024,"ROB",1,0.2
"310781000",2025,"COE",182,100
"310781505",2021,"COE",142,100
"310781505",2022,"COE",131,100
"310781505",2023,"COE",176,100
"310781505",2024,"COE",175,99.4
"310781505",2024,"LAP",1,0.6
"310781505",2025,"COE",69,92
"310781505",2025,"LAP",1,1.3
"310781505",2025,"ROB",5,6.7
"310783055",2021,"COE",112,99.1
"310783055",2021,"LAP",1,0.9
"310783055",2022,"COE",82,66.1
"310783055",2022,"ROB",42,33.9
"310783055",2023,"COE",92,72.4
"310783055",2023,"ROB",35,27.6
"310783055",2024,"COE",75,75.8
"310783055",2024,"LAP",1,1
"310783055",2024,"ROB",23,23.2
"310783055",2025,"COE",55,75.3
"310783055",2025,"ROB",18,24.7
"330000340",2021,"COE",94,100
"330000340",2022,"COE",92,98.9
"330000340",2022,"LAP",1,1.1
"330000340",2023,"COE",58,100
"330000340",2024,"COE",44,77.2
"330000340",2024,"LAP",1,1.8
"330000340",2024,"ROB",12,21.1
"330000340",2025,"COE",28,87.5
"330000340",2025,"LAP",4,12.5
"330780115",2021,"COE",78,100
"330780115",2022,"COE",48,100
"330780115",2023,"COE",49,100
"330780115",2024,"COE",49,100
"330780115",2025,"COE",15,100
"330780263",2021,"COE",106,100
"330780263",2022,"COE",117,100
"330780263",2023,"COE",85,100
"330780263",2024,"COE",84,98.8
"330780263",2024,"ROB",1,1.2
"330780263",2025,"COE",37,100
"330780479",2021,"COE",61,100
"330780479",2022,"COE",72,96
"330780479",2022,"LAP",1,1.3
"330780479",2022,"ROB",2,2.7
"330780479",2023,"COE",53,94.6
"330780479",2023,"ROB",3,5.4
"330780479",2024,"COE",65,83.3
"330780479",2024,"ROB",13,16.7
"330780479",2025,"COE",26,78.8
"330780479",2025,"ROB",7,21.2
"330780511",2021,"COE",21,100
"330780511",2022,"COE",35,100
"330780511",2023,"COE",35,100
"330780511",2024,"COE",49,100
"330780511",2025,"COE",16,100
"330780529",2021,"COE",220,94.8
"330780529",2021,"ROB",12,5.2
"330780529",2022,"COE",208,96.3
"330780529",2022,"LAP",1,0.5
"330780529",2022,"ROB",7,3.2
"330780529",2023,"COE",184,85.6
"330780529",2023,"LAP",1,0.5
"330780529",2023,"ROB",30,14
"330780529",2024,"COE",211,92.5
"330780529",2024,"LAP",2,0.9
"330780529",2024,"ROB",15,6.6
"330780529",2025,"COE",121,89.6
"330780529",2025,"ROB",14,10.4
"330781402",2021,"COE",195,100
"330781402",2022,"COE",191,100
"330781402",2023,"COE",228,99.6
"330781402",2023,"LAP",1,0.4
"330781402",2024,"COE",229,99.6
"330781402",2024,"LAP",1,0.4
"330781402",2025,"COE",129,100
"330782582",2021,"COE",79,100
"330782582",2022,"COE",55,100
"330782582",2023,"COE",58,100
"330782582",2024,"COE",41,100
"330782582",2025,"COE",25,100
"330783648",2021,"COE",82,93.2
"330783648",2021,"LAP",6,6.8
"330783648",2022,"COE",49,50
"330783648",2022,"LAP",8,8.2
"330783648",2022,"ROB",41,41.8
"330783648",2023,"COE",26,37.7
"330783648",2023,"LAP",2,2.9
"330783648",2023,"ROB",41,59.4
"330783648",2024,"COE",41,60.3
"330783648",2024,"LAP",1,1.5
"330783648",2024,"ROB",26,38.2
"330783648",2025,"COE",14,36.8
"330783648",2025,"LAP",1,2.6
"330783648",2025,"ROB",23,60.5
"340000033",2021,"COE",52,94.5
"340000033",2021,"ROB",3,5.5
"340000033",2022,"COE",14,23.7
"340000033",2022,"ROB",45,76.3
"340000033",2023,"COE",1,1.3
"340000033",2023,"ROB",76,98.7
"340000033",2024,"COE",32,45.1
"340000033",2024,"ROB",39,54.9
"340000033",2025,"ROB",46,100
"340009885",2021,"COE",40,100
"340009885",2022,"COE",36,100
"340009885",2023,"COE",43,100
"340009885",2024,"COE",45,100
"340009885",2025,"COE",32,100
"340015502",2021,"COE",280,84.3
"340015502",2021,"LAP",32,9.6
"340015502",2021,"ROB",20,6
"340015502",2022,"COE",237,88.4
"340015502",2022,"LAP",17,6.3
"340015502",2022,"ROB",14,5.2
"340015502",2023,"COE",209,87.4
"340015502",2023,"LAP",30,12.6
"340015502",2024,"COE",158,82.7
"340015502",2024,"LAP",33,17.3
"340015502",2025,"COE",85,85.9
"340015502",2025,"LAP",12,12.1
"340015502",2025,"ROB",2,2
"340015965",2021,"COE",181,99.5
"340015965",2021,"ROB",1,0.5
"340015965",2022,"COE",147,99.3
"340015965",2022,"ROB",1,0.7
"340015965",2023,"COE",156,100
"340015965",2024,"COE",148,100
"340015965",2025,"COE",68,100
"340024314",2021,"COE",44,100
"340024314",2022,"COE",63,100
"340024314",2023,"COE",49,98
"340024314",2023,"LAP",1,2
"340024314",2024,"COE",31,100
"340024314",2025,"COE",20,100
"340780667",2021,"COE",71,94.7
"340780667",2021,"ROB",4,5.3
"340780667",2022,"COE",74,100
"340780667",2023,"COE",73,100
"340780667",2024,"COE",69,100
"340780667",2025,"COE",35,100
"340780675",2021,"COE",98,96.1
"340780675",2021,"LAP",1,1
"340780675",2021,"ROB",3,2.9
"340780675",2022,"COE",93,83.8
"340780675",2022,"ROB",18,16.2
"340780675",2023,"COE",99,79.8
"340780675",2023,"ROB",25,20.2
"340780675",2024,"COE",131,100
"340780675",2025,"COE",25,100
"340780741",2021,"COE",49,98
"340780741",2021,"ROB",1,2
"340780741",2022,"COE",40,100
"340780741",2023,"COE",41,100
"340780741",2024,"COE",58,100
"340780741",2025,"COE",49,98
"340780741",2025,"LAP",1,2
"340782036",2021,"COE",228,97
"340782036",2021,"LAP",5,2.1
"340782036",2021,"ROB",2,0.9
"340782036",2022,"COE",269,98.5
"340782036",2022,"LAP",3,1.1
"340782036",2022,"ROB",1,0.4
"340782036",2023,"COE",254,99.2
"340782036",2023,"LAP",2,0.8
"340782036",2024,"COE",220,97.3
"340782036",2024,"LAP",2,0.9
"340782036",2024,"ROB",4,1.8
"340782036",2025,"COE",122,88.4
"340782036",2025,"LAP",1,0.7
"340782036",2025,"ROB",15,10.9
"350000121",2021,"COE",361,90.9
"350000121",2021,"LAP",36,9.1
"350000121",2022,"COE",305,95.3
"350000121",2022,"LAP",12,3.8
"350000121",2022,"ROB",3,0.9
"350000121",2023,"COE",302,90.7
"350000121",2023,"LAP",15,4.5
"350000121",2023,"ROB",16,4.8
"350000121",2024,"COE",276,86.5
"350000121",2024,"LAP",29,9.1
"350000121",2024,"ROB",14,4.4
"350000121",2025,"COE",127,92
"350000121",2025,"LAP",8,5.8
"350000121",2025,"ROB",3,2.2
"350000139",2021,"COE",18,100
"350000139",2022,"COE",30,100
"350000139",2023,"COE",35,100
"350000139",2024,"COE",71,100
"350000139",2025,"COE",39,97.5
"350000139",2025,"ROB",1,2.5
"350000147",2021,"COE",48,96
"350000147",2021,"LAP",2,4
"350000147",2022,"COE",51,98.1
"350000147",2022,"ROB",1,1.9
