"finessGeoDP","annee","baria_t","n","pct"
"140000290",2021,"SLE",45,86.5
"140000290",2022,"ANN",1,2
"140000290",2022,"BPG",5,10.2
"140000290",2022,"SLE",43,87.8
"140016759",2021,"BPG",73,47.7
"140016759",2021,"SLE",80,52.3
"140016759",2022,"BPG",84,60
"140016759",2022,"SLE",56,40
"140016759",2023,"BPG",65,64.4
"140016759",2023,"SLE",36,35.6
"140016759",2024,"BPG",60,68.2
"140016759",2024,"SLE",28,31.8
"140016759",2025,"BPG",35,61.4
"140016759",2025,"SLE",22,38.6
"140017237",2021,"BPG",32,65.3
"140017237",2021,"SLE",17,34.7
"140017237",2022,"BPG",33,64.7
"140017237",2022,"SLE",18,35.3
"140017237",2023,"BPG",33,75
"140017237",2023,"SLE",11,25
"140017237",2024,"BPG",40,65.6
"140017237",2024,"SLE",21,34.4
"140017237",2025,"BPG",23,63.9
"140017237",2025,"SLE",13,36.1
"140018730",2022,"BPG",1,100
"140018730",2023,"BPG",9,23.1
"140018730",2023,"SLE",30,76.9
"140018730",2024,"BPG",16,27.1
"140018730",2024,"SLE",43,72.9
"140018730",2025,"BPG",8,40
"140018730",2025,"SLE",12,60
"160000253",2021,"BPG",19,38.8
"160000253",2021,"SLE",30,61.2
"160000253",2022,"BPG",16,48.5
"160000253",2022,"SLE",17,51.5
"160000253",2023,"BPG",16,31.4
"160000253",2023,"SLE",35,68.6
"160000253",2024,"BPG",14,32.6
"160000253",2024,"SLE",29,67.4
"160000253",2025,"BPG",8,40
"160000253",2025,"SLE",12,60
"160013207",2021,"BPG",3,3.6
"160013207",2021,"SLE",80,96.4
"160013207",2022,"BPG",3,3.8
"160013207",2022,"SLE",75,96.2
"160013207",2023,"BPG",7,7.4
"160013207",2023,"SLE",87,92.6
"160013207",2024,"BPG",5,5.6
"160013207",2024,"SLE",84,94.4
"160013207",2025,"BPG",6,11.3
"160013207",2025,"SLE",47,88.7
"170000095",2021,"BPG",16,26.7
"170000095",2021,"DBP",1,1.7
"170000095",2021,"SLE",43,71.7
"170000095",2022,"ANN",1,1.7
"170000095",2022,"BPG",18,31
"170000095",2022,"DBP",6,10.3
"170000095",2022,"SLE",33,56.9
"170000095",2023,"BPG",14,28
"170000095",2023,"DBP",3,6
"170000095",2023,"SLE",33,66
"170000095",2024,"BPG",14,32.6
"170000095",2024,"SLE",29,67.4
"170000152",2021,"BPG",36,23.2
"170000152",2021,"SLE",119,76.8
"170000152",2022,"BPG",30,23.6
"170000152",2022,"SLE",97,76.4
"170000152",2023,"BPG",28,30.4
"170000152",2023,"SLE",64,69.6
"170000152",2024,"BPG",38,31.7
"170000152",2024,"SLE",82,68.3
"170000152",2025,"BPG",11,23.9
"170000152",2025,"SLE",35,76.1
"170780563",2021,"BPG",30,58.8
"170780563",2021,"SLE",21,41.2
"170780563",2022,"BPG",21,45.7
"170780563",2022,"SLE",25,54.3
"170780563",2023,"BPG",26,40
"170780563",2023,"SLE",39,60
"170780563",2024,"BPG",33,50.8
"170780563",2024,"SLE",32,49.2
"170780563",2025,"BPG",21,65.6
"170780563",2025,"SLE",11,34.4
"170780662",2021,"BPG",21,46.7
"170780662",2021,"SLE",24,53.3
"170780662",2022,"BPG",8,34.8
"170780662",2022,"SLE",15,65.2
"170780662",2023,"BPG",21,42
"170780662",2023,"SLE",29,58
"170780662",2024,"BPG",21,39.6
"170780662",2024,"SLE",32,60.4
"170780662",2025,"BPG",4,25
"170780662",2025,"SLE",12,75
"180004145",2021,"BPG",17,20.2
"180004145",2021,"SLE",67,79.8
"180004145",2022,"BPG",20,25.3
"180004145",2022,"SLE",59,74.7
"180004145",2023,"BPG",20,31.7
"180004145",2023,"SLE",43,68.3
"180004145",2024,"BPG",11,29.7
"180004145",2024,"SLE",26,70.3
"180004145",2025,"BPG",10,35.7
"180004145",2025,"SLE",18,64.3
"190013482",2021,"BPG",8,20.5
"190013482",2021,"SLE",31,79.5
"190013482",2022,"ANN",1,2.9
"190013482",2022,"BPG",6,17.1
"190013482",2022,"SLE",28,80
"190013482",2023,"BPG",2,4.7
"190013482",2023,"SLE",41,95.3
"190013482",2024,"BPG",7,17.1
"190013482",2024,"SLE",34,82.9
"190013482",2025,"BPG",2,16.7
"190013482",2025,"SLE",10,83.3
"210012670",2021,"ANN",2,0.7
"210012670",2021,"BPG",167,62.5
"210012670",2021,"DBP",3,1.1
"210012670",2021,"SLE",95,35.6
"210012670",2022,"ANN",4,1.7
"210012670",2022,"BPG",137,57.6
"210012670",2022,"DBP",1,0.4
"210012670",2022,"SLE",96,40.3
"210012670",2023,"ANN",2,1
"210012670",2023,"BPG",127,62.9
"210012670",2023,"SLE",73,36.1
"210012670",2024,"ANN",3,1.4
"210012670",2024,"BPG",133,63.6
"210012670",2024,"DBP",3,1.4
"210012670",2024,"SLE",70,33.5
"210012670",2025,"ANN",2,1.6
"210012670",2025,"BPG",73,59.8
"210012670",2025,"SLE",47,38.5
"210780789",2021,"ANN",1,0.6
"210780789",2021,"BPG",111,63.8
"210780789",2021,"SLE",62,35.6
"210780789",2022,"ANN",1,0.7
"210780789",2022,"BPG",84,57.9
"210780789",2022,"SLE",60,41.4
"210780789",2023,"ANN",1,0.9
"210780789",2023,"BPG",71,65.7
"210780789",2023,"SLE",36,33.3
"210780789",2024,"BPG",81,71.1
"210780789",2024,"SLE",33,28.9
"210780789",2025,"BPG",34,75.6
"210780789",2025,"SLE",11,24.4
"210987558",2021,"BPG",25,50
"210987558",2021,"SLE",25,50
"210987558",2022,"BPG",7,70
"210987558",2022,"SLE",3,30
"210987558",2023,"BPG",22,55
"210987558",2023,"SLE",18,45
"210987558",2024,"BPG",18,58.1
"210987558",2024,"SLE",13,41.9
"210987558",2025,"BPG",14,53.8
"210987558",2025,"SLE",12,46.2
"220000012",2021,"BPG",15,38.5
"220000012",2021,"SLE",24,61.5
"220000012",2022,"BPG",6,27.3
"220000012",2022,"SLE",16,72.7
"220000012",2023,"BPG",8,22.9
"220000012",2023,"SLE",27,77.1
"220000012",2024,"BPG",4,15.4
"220000012",2024,"SLE",22,84.6
"220000012",2025,"BPG",5,26.3
"220000012",2025,"SLE",14,73.7
"220005599",2021,"BPG",11,33.3
"220005599",2021,"SLE",22,66.7
"220005599",2022,"BPG",20,57.1
"220005599",2022,"SLE",15,42.9
"220005599",2023,"BPG",14,37.8
"220005599",2023,"SLE",23,62.2
"220005599",2024,"BPG",10,37
"220005599",2024,"SLE",17,63
"220005599",2025,"BPG",4,20
"220005599",2025,"SLE",16,80
"220022800",2021,"BPG",46,40
"220022800",2021,"SLE",69,60
"220022800",2022,"ANN",2,2.2
"220022800",2022,"BPG",31,33.7
"220022800",2022,"SLE",59,64.1
"220022800",2023,"ANN",1,1.7
"220022800",2023,"BPG",27,45
"220022800",2023,"DBP",1,1.7
"220022800",2023,"SLE",31,51.7
"220022800",2024,"ANN",1,1.2
"220022800",2024,"BPG",39,45.9
"220022800",2024,"SLE",45,52.9
"220022800",2025,"ANN",2,4.7
"220022800",2025,"BPG",24,55.8
"220022800",2025,"SLE",17,39.5
"250011848",2021,"ANN",3,1.8
"250011848",2021,"BPG",64,37.4
"250011848",2021,"SLE",104,60.8
"250011848",2022,"ANN",1,0.5
"250011848",2022,"BPG",97,45.5
"250011848",2022,"SLE",115,54
"250011848",2023,"ANN",1,0.5
"250011848",2023,"BPG",104,47.9
"250011848",2023,"SLE",112,51.6
"250011848",2024,"ANN",3,1.5
"250011848",2024,"BPG",95,46.6
"250011848",2024,"SLE",106,52
"250011848",2025,"BPG",39,40.2
"250011848",2025,"SLE",58,59.8
"260000260",2021,"ANN",28,23.5
"260000260",2021,"BPG",16,13.4
"260000260",2021,"DBP",1,0.8
"260000260",2021,"SLE",74,62.2
"260000260",2022,"ANN",19,20.4
"260000260",2022,"BPG",13,14
"260000260",2022,"SLE",61,65.6
"260000260",2023,"ANN",28,33.3
"260000260",2023,"BPG",13,15.5
"260000260",2023,"SLE",43,51.2
"260000260",2024,"ANN",26,30.6
"260000260",2024,"BPG",4,4.7
"260000260",2024,"SLE",55,64.7
"260000260",2025,"ANN",21,43.8
"260000260",2025,"BPG",5,10.4
"260000260",2025,"SLE",22,45.8
"260003017",2021,"BPG",1,2.3
"260003017",2021,"SLE",43,97.7
"260003017",2022,"BPG",6,9.4
"260003017",2022,"SLE",58,90.6
"260003017",2023,"ANN",1,1.8
"260003017",2023,"BPG",8,14.5
"260003017",2023,"SLE",46,83.6
"260003017",2024,"ANN",2,2.9
"260003017",2024,"BPG",6,8.7
"260003017",2024,"SLE",61,88.4
"260003017",2025,"ANN",11,25.6
"260003017",2025,"BPG",11,25.6
"260003017",2025,"SLE",21,48.8
"280000084",2021,"BPG",3,9.1
"280000084",2021,"SLE",30,90.9
"280000084",2022,"BPG",10,30.3
"280000084",2022,"SLE",23,69.7
"280000084",2023,"BPG",3,11.5
"280000084",2023,"SLE",23,88.5
"280000084",2024,"BPG",3,9.7
"280000084",2024,"SLE",28,90.3
"280000084",2025,"BPG",1,6.7
"280000084",2025,"SLE",14,93.3
"280504267",2021,"BPG",15,26.3
"280504267",2021,"SLE",42,73.7
"280504267",2022,"BPG",9,15.5
"280504267",2022,"SLE",49,84.5
"280504267",2023,"BPG",11,22
"280504267",2023,"SLE",39,78
"280504267",2024,"BPG",6,12.2
"280504267",2024,"SLE",43,87.8
"280504267",2025,"BPG",4,18.2
"280504267",2025,"SLE",18,81.8
"280505777",2022,"SLE",6,100
"280505777",2023,"SLE",50,100
"280505777",2024,"SLE",69,100
"280505777",2025,"SLE",45,100
"290000025",2021,"BPG",18,66.7
"290000025",2021,"SLE",9,33.3
"290000025",2022,"BPG",17,77.3
"290000025",2022,"DBP",1,4.5
"290000025",2022,"SLE",4,18.2
"290000025",2023,"BPG",40,90.9
"290000025",2023,"SLE",4,9.1
"290000025",2024,"BPG",34,94.4
"290000025",2024,"SLE",2,5.6
"290000025",2025,"BPG",15,100
"290000215",2021,"BPG",51,100
"290000215",2022,"BPG",32,91.4
"290000215",2022,"SLE",3,8.6
"290004324",2021,"BPG",39,70.9
"290004324",2021,"SLE",16,29.1
"290004324",2022,"BPG",62,75.6
"290004324",2022,"DBP",2,2.4
"290004324",2022,"SLE",18,22
"290004324",2023,"BPG",83,81.4
"290004324",2023,"SLE",19,18.6
"290004324",2024,"BPG",54,76.1
"290004324",2024,"SLE",17,23.9
"290004324",2025,"BPG",26,76.5
"290004324",2025,"SLE",8,23.5
"290019777",2021,"BPG",63,90
"290019777",2021,"SLE",7,10
"290019777",2022,"BPG",77,89.5
"290019777",2022,"SLE",9,10.5
"290019777",2023,"ANN",2,2.5
"290019777",2023,"BPG",74,92.5
"290019777",2023,"SLE",4,5
"290019777",2024,"ANN",1,1.4
"290019777",2024,"BPG",66,95.7
"290019777",2024,"SLE",2,2.9
"290019777",2025,"BPG",43,95.6
"290019777",2025,"SLE",2,4.4
"290036540",2022,"BPG",21,95.5
"290036540",2022,"SLE",1,4.5
"290036540",2023,"BPG",49,100
"290036540",2024,"BPG",35,97.2
"290036540",2024,"SLE",1,2.8
"290036540",2025,"BPG",25,92.6
"290036540",2025,"SLE",2,7.4
"2A0000139",2021,"SLE",31,100
"2A0000139",2022,"SLE",29,100
"2A0000139",2023,"SLE",24,100
"2A0000139",2024,"SLE",20,100
"2A0000139",2025,"SLE",7,100
"2B0000145",2021,"ANN",3,3.1
"2B0000145",2021,"BPG",43,44.3
"2B0000145",2021,"SLE",51,52.6
"2B0000145",2022,"ANN",2,2.7
